25.41,170,11/8
33.18,170,4/8
33.88,170,11/8
64.94,170,5/4
107.29,170,11/8
118.94,170,12/8
123.18,170,11/8
154.24,170,5/4
196.59,170,12/8
198.71,170,11/8
200.65,170,12/8
202.76,170,11/8
204.71,170,12/8
206.82,170,11/8
208.76,170,12/8
210.88,170,11/8
212.82,170,12/8
214.94,170,11/8
216.88,170,12/8
219,170,11/8
220.94,170,12/8
223.06,170,11/8
225,170,12/8
227.12,170,11/8
229.06,170,12/8
231.18,170,11/8
233.12,170,12/8
235.24,170,11/8
237.18,170,12/8
239.29,170,11/8
241.24,170,12/8
243.35,170,11/8
245.29,170,12/8
