0,0,0.18
0.18,1,0.35
0.35,0,0.53
0.53,1,0.71
0.71,1,0
0.88,1,1.06
1.06,0,1.24
1.24,1,1.41
1.41,1,1.59
3.18,1,3.35
3.35,1,3.53
3.53,0,3.71
3.71,0,3.88
3.88,1,4.06
4.06,0,4.24
4.24,0,4.41
4.41,1,4.59
4.59,1,4.76
6.35,0,6.53
6.53,1,6.71
6.71,0,6.88
6.88,1,7.06
7.06,1,0
7.24,1,7.41
7.41,0,7.59
7.59,1,7.76
7.76,1,7.94
9.53,1,9.71
9.71,1,9.88
9.88,0,10.06
10.06,0,10.24
10.24,1,0
10.41,1,10.59
10.59,0,10.76
10.76,1,10.94
10.94,1,11.12
12.71,0,12.88
12.88,1,13.06
13.06,0,13.24
13.24,1,13.41
13.41,1,0
13.59,1,13.76
13.76,0,13.94
13.94,1,14.12
14.12,1,14.29
15.88,1,16.06
16.06,1,16.24
16.24,0,16.41
16.41,0,16.59
16.59,1,0
16.76,0,16.94
16.94,0,17.12
17.12,1,17.29
17.29,1,17.47
19.06,0,19.24
19.24,1,19.41
19.41,0,19.59
19.59,1,19.76
19.76,1,0
19.94,1,20.12
20.12,0,20.29
20.29,1,20.47
20.47,1,20.65
22.24,1,22.41
22.41,1,22.59
22.59,0,22.76
22.76,0,22.94
22.94,1,22.94
23.12,0,23.29
23.29,0,23.47
23.47,1,23.65
23.65,1,23.82
25.41,0,25.76
25.59,1,25.76
25.76,1,26.07
25.94,0,26.12
26.12,0,0
26.29,0,0
26.47,1,0
26.65,1,0
26.82,0,27
27.35,1,27.71
27.53,0,27.71
27.71,0,28.06
27.88,1,28.06
28.06,1,0
28.24,0,0
28.41,1,0
28.59,0,0
28.76,1,0
29.29,0,29.65
29.47,1,29.65
29.65,0,30
29.82,1,30
30,1,0
30.18,1,30.35
30.35,0,30.53
30.53,0,30.71
30.71,0,30.88
31.24,1,31.59
31.41,0,31.59
31.59,1,31.94
31.76,0,31.94
31.94,1,0
32.12,0,0
32.29,0,0
32.47,1,0
32.65,1,0
32.82,0,0
33,1,0
33.18,0,0
33.35,1,0
33.53,0,33.70
33.71,1,33.88
33.88,0,34.06
34.06,1,0
34.23,1,0
34.41,1,0
34.59,0,0
34.76,0,34.94
34.94,1,35.12
35.12,0,0
35.29,1,35.47
35.82,1,36
36,0,36.17
36.17,0,36.35
36.35,1,36.53
36.53,1,0
36.70,1,36.88
36.88,0,0
37.06,0,0
37.23,0,37.41
37.76,1,37.94
37.94,0,38.12
38.12,1,0
38.29,0,0
38.47,0,38.64
38.64,1,38.82
38.82,0,0
39,1,0
39.17,0,0
39.70,0,39.88
39.88,1,40.06
40.06,0,0
40.23,1,0
40.41,1,40.59
40.59,0,40.76
40.76,1,0
40.94,0,0
41.12,1,0
41.29,0,41.64
41.47,1,41.64
41.64,1,41.82
41.82,1,42
42,0,42.17
42.17,0,42.35
42.35,1,0
42.53,1,0
42.70,0,0
42.88,0,0
43.06,0,0
43.59,0,43.76
43.76,0,43.94
43.94,1,44.12
44.12,1,44.29
44.29,1,0
44.47,1,0
44.64,0,0
44.82,0,0
45,0,0
45.53,0,45.70
45.70,1,45.88
45.88,0,46.06
46.06,1,46.23
46.23,0,0
46.41,1,0
46.59,0,0
46.76,1,0
46.94,0,0
47.47,1,47.64
47.64,0,47.82
47.82,1,48
48,0,48.17
48.17,1,0
48.35,0,0
48.53,1,0
48.70,0,0
48.88,1,0
49.06,1,49.41
49.23,0,49.41
49.41,1,49.59
49.59,1,0
49.76,0,49.94
49.94,0,0
50.12,1,0
50.29,1,50.47
50.47,0,50.64
50.64,0,0
50.82,0,51
51.35,0,51.53
51.53,0,0
51.70,1,51.88
51.88,1,0
52.06,0,0
52.23,0,52.41
52.41,1,52.59
52.59,1,0
52.76,1,52.94
53.29,1,53.64
53.47,0,53.64
53.64,0,0
53.82,1,0
54,0,54.35
54.17,1,54.35
54.35,1,0
54.53,0,0
54.70,1,0
55.23,0,55.59
55.41,1,55.59
55.59,1,0
55.76,0,0
55.94,1,56.29
56.12,0,56.29
56.29,0,0
56.47,1,0
56.64,0,0
56.82,0,0
57,1,0
57.17,1,57.35
57.35,0,0
57.53,0,0
57.70,1,57.88
57.88,0,0
58.06,1,0
58.23,1,0
58.41,0,0
58.59,1,58.76
59.12,0,59.29
59.29,1,0
59.47,1,0
59.64,0,59.82
59.82,1,0
60,0,0
60.17,0,0
60.35,1,0
60.53,0,60.70
61.06,1,61.23
61.23,1,0
61.41,0,61.59
61.59,0,0
61.76,1,0
61.94,1,62.12
62.12,0,62.29
62.29,0,0
62.47,0,62.64
63,0,63.17
63.17,0,0
63.35,1,63.53
63.53,1,0
63.70,0,0
63.88,0,64.06
64.06,1,64.23
64.23,1,0
64.41,1,64.59
64.59,0,0
64.76,1,0
64.94,0,65.12
65.12,1,65.29
65.29,0,65.47
65.47,1,65.65
65.64,1,65.82
65.82,0,66
66,0,66.18
66.18,0,66.35
66.35,1,66.53
66.53,1,66.70
66.70,0,66.88
66.88,1,67.06
67.05,0,67.24
67.23,1,67.41
67.41,1,67.59
67.58,0,67.76
67.76,0,67.76
67.94,0,0
68.11,1,68.12
68.29,1,68.29
68.47,0,68.65
68.65,0,68.82
68.82,0,69
69,1,0
69.18,1,69.35
69.35,0,69.53
69.53,0,0
69.70,1,0
69.88,1,0
70.06,1,70.24
70.23,0,70.41
70.41,0,70.59
70.59,0,70.76
70.76,1,0
70.94,1,71.12
71.12,0,71.29
71.29,0,0
71.47,1,0
71.65,1,0
71.82,1,72
72,0,72.18
72.18,1,72.35
72.35,0,72.53
72.53,1,72.71
72.71,1,72.88
72.71,0,72.88
72.88,0,72.88
73.06,0,0
73.23,0,0
73.41,1,73.41
